codeDepartement;nomDepartement;codeInseeCommune;nomCommune;codeInstallation;nomInstallation;adresse;codePostal;arrondissement;libelle;multiCommune;accessibilite;accessibiliteHandiMoteur;accessibiliteHandiSens;internat;nbLits;nbParking;nbParkingHandi;gardien;metro;bus;tram;train;bateau;autreTransport;aucunTransport;dateMAJ;dateCreation;nbEquipements
31;Haute-Garonne;31069;Blagnac;I310690007;Complexe Sportif du Ramier;2 RUE DU VIEUX MOULIN;31700;;Complexe sportif;0;0;1;0;0;0;500;10;Avec logement de gardien;0;0;0;0;0;0;1;21/12/2018;29/06/2016;12
31;Haute-Garonne;31069;Blagnac;I310690008;Gymnase Jean Moulin;2 RUE FELIX DEBAX;31700;;Etablissement scolaire;0;0;1;0;0;0;0;0;Sans logement de gardien;0;1;1;0;0;0;0;14/10/2016;14/10/2016;1
31;Haute-Garonne;31069;Blagnac;I310690011;Gymnase Scolaire Saint Exupery;RUE  GEORGES SAND;31700;;Etablissement scolaire;0;0;1;0;0;0;100;2;Non;0;1;0;0;0;0;0;21/12/2018;18/07/2016;3
31;Haute-Garonne;31069;Blagnac;I310690012;Etablissement Scolaire le Ferradou;ROUTE DE GRENADE;31700;;Etablissement scolaire;0;0;1;0;1;0;50;0;Non;0;1;0;0;0;0;0;29/06/2016;29/06/2016;6
31;Haute-Garonne;31069;Blagnac;I310690022;Ecole Perseides;Boulevard Perse;31700;;Etablissement scolaire;0;0;1;0;0;0;0;0;Non;0;1;0;0;0;0;0;;;2
31;Haute-Garonne;31069;Blagnac;I310690026;Complexe Sportif d'Andromde;Chemin de Ferradou Blagnac;31700;;Complexe sportif;0;0;1;0;0;0;150;6;Avec logement de gardien;0;1;0;0;0;0;0;29/06/2016;29/06/2016;11
31;Haute-Garonne;31070;Blajan;I310700001;Ecole Primaire;Route de Toulouse;31350;;Etablissement scolaire;0;1;0;0;0;;;;-;0;0;0;0;0;0;1;25/06/2018;25/06/2018;1
31;Haute-Garonne;31071;Bois-de-la-Pierre;I310710002;Arodrome Prive;Quartier Digne des Moines;31390;;Arodrome/aroport;0;0;1;0;0;0;15;0;Non;;;;;;;0;25/06/2018;25/06/2018;1
31;Haute-Garonne;31079;Bouloc;I310790001;Complexe Sportif;Route de Villaudric;31620;;Complexe sportif;0;0;1;0;0;0;100;2;Non;;;;;;;0;21/07/2015;21/07/2015;9
31;Haute-Garonne;31079;Bouloc;I310790003;Aire Multisports (cole);Rue Jean Jaures;31620;;Etablissement scolaire;0;0;1;0;0;0;30;1;Non;0;1;0;0;0;0;0;;;1
31;Haute-Garonne;31080;Boulogne-sur-Gesse;I310800004;Complexe Sportif;avenue du lac;31350;;Complexe sportif;0;0;1;0;0;0;110;0;Non;;;;;;;0;04/12/2019;04/12/2019;6
31;Haute-Garonne;31081;Bourg-d'Oueil;I310810001;Station de Ski;Bourg d'Oueil;31110;;Domaine de ski;1;1;0;0;1;50;30;0;Non;0;0;0;0;0;0;1;12/11/2018;25/06/2018;3
31;Haute-Garonne;31082;Bourg-Saint-Bernard;I310820003;Arodrome A.V.A.T;Aerodrome;31570;;Arodrome/aroport;0;1;0;0;0;0;30;0;Non;0;0;0;0;0;0;1;15/11/2019;15/11/2019;2
31;Haute-Garonne;31084;Boussens;I310840002;Complexe Sportif Emile Lagardelle;Avenue de la gare;31360;;Complexe sportif;0;0;1;0;0;0;30;0;Avec logement de gardien;0;0;0;0;0;0;1;27/11/2019;27/11/2019;9
31;Haute-Garonne;31084;Boussens;I310840003;Piscine Municipale;Promenade du lac;31360;;Piscine;0;0;1;0;0;0;0;1;Non;0;0;0;0;0;0;1;27/11/2019;27/11/2019;1
31;Haute-Garonne;31084;Boussens;I310840004;Ecole;Avenue du Pr Commun;31360;;Etablissement scolaire;0;1;0;0;0;0;0;0;Non;0;1;0;0;0;0;0;27/11/2019;27/11/2019;1
31;Haute-Garonne;31085;Boutx;I310850001;Station de Ski Boutx-Le Mourtis;LE MOURTIS;31160;;Domaine de ski;1;0;1;0;1;695;800;0;Non;0;0;0;0;0;0;1;08/10/2018;21/10/2013;5
31;Haute-Garonne;31091;Bruguires;I310910002;Complexe Sportif Ren Albus;Alles Pierre de Coubertin;31150;;Complexe sportif;0;0;1;0;0;0;300;3;Avec logement de gardien;0;1;0;0;0;0;0;25/06/2015;25/06/2015;13
31;Haute-Garonne;31091;Bruguires;I310910007;Base de Loisirs;Rue de la Briqueterie;31150;;Base de plein air et/ou de loisirs;0;1;0;0;0;0;400;10;Non;;;;;;;0;;;4
31;Haute-Garonne;31098;Cadours;I310980001;Collge Joseph Rey;2 Route de Garac;31480;;Etablissement scolaire;0;0;1;0;0;0;50;3;Avec logement de gardien;0;0;0;0;0;0;1;04/12/2019;24/11/2014;3
31;Haute-Garonne;31098;Cadours;I310980008;;ECOLE MATERNELLE PUBLIQUE CHEMIN D'EN PALANQUE;31480;;Etablissement scolaire;0;0;1;0;0;0;30;0;Non;0;1;0;0;0;0;0;06/12/2019;;1
31;Haute-Garonne;31100;Calmont;I311000001;Complexe Sportif Francis Balard;AVENUE DE MAZERES;31560;;Complexe sportif;0;0;1;0;0;0;80;3;Non;0;1;0;0;0;0;0;27/11/2019;13/11/2014;6
31;Haute-Garonne;31100;Calmont;I311000003;Ecole;Avenue de Mazre;31560;;Etablissement scolaire;0;0;1;0;0;0;80;1;Non;0;1;0;0;0;0;0;28/11/2019;28/11/2019;1
31;Haute-Garonne;31107;Carbonne;I311070001;Complexe Sportif A. Prevost;Rue du Pila;31390;;Complexe sportif;0;0;1;0;0;0;350;4;Non;;;;;;;0;07/09/2018;18/06/2018;7
31;Haute-Garonne;31107;Carbonne;I311070007;College Andre Abbal;Route de Marquefave;31390;;Etablissement scolaire;0;0;1;0;0;0;30;2;Avec logement de gardien;0;1;0;0;0;0;0;17/06/2015;17/06/2015;3
31;Haute-Garonne;31113;Castanet-Tolosan;I311130001;Complexe Sportif G. Vallerey;Rue G. Vallerey;31320;;Complexe sportif;0;0;1;0;0;0;50;1;Non;0;1;0;0;0;0;0;17/06/2015;17/06/2015;12
