codeInstallation,codeInseeCommune,libelle,metro,bus,tram,train,bateau,autreTransport,aucunTransport,dateMAJ,dateCreation
I311490012,31149,Complexe sportif,0,1,0,0,0,0,0,16/10/2016,16/10/2016
I311490013,31149,Etablissement scolaire,0,1,0,0,0,0,0,08/09/2016,08/09/2016
I311490014,31149,Piscine,0,1,0,0,0,0,0,09/09/2016,09/09/2016
I311490018,31149,Etablissement scolaire,0,1,0,0,0,0,0,08/09/2016,08/09/2016
I311490033,31149,Etablissement scolaire,0,1,0,0,0,0,0,07/09/2016,07/09/2016
I311490036,31149,Etablissement scolaire,0,1,0,0,0,0,0,,
I311490038,31149,Complexe sportif,0,0,0,0,0,1,0,,
I311500002,31150,Complexe sportif,0,1,0,0,0,0,0,24/07/2015,24/07/2015
I311570001,31157,Etablissement scolaire,0,1,0,0,0,0,0,23/11/2016,23/11/2016
I311570003,31157,Etablissement scolaire,0,1,0,0,0,0,0,16/11/2016,16/11/2016
I311570004,31157,Etablissement scolaire,0,1,0,0,0,0,0,16/11/2016,16/11/2016
I311570005,31157,Etablissement scolaire,0,1,0,0,0,0,0,23/11/2016,23/11/2016
I311570007,31157,Complexe sportif,0,1,0,0,0,0,0,17/11/2016,17/11/2016
I311570011,31157,Complexe sportif,0,1,0,0,0,0,0,17/11/2016,17/11/2016
I311570019,31157,Etablissement scolaire,0,1,0,0,0,0,0,23/11/2016,23/11/2016
I311600006,31160,Etablissement scolaire,0,1,0,0,0,0,0,28/08/2019,28/08/2019
I311630001,31163,Etablissement scolaire,0,0,0,0,0,0,1,11/10/2019,11/10/2019
I311630002,31163,Complexe sportif,0,0,0,0,0,0,1,05/11/2019,05/11/2019
I311650002,31165,Complexe sportif,,,,,,,0,05/06/2015,05/06/2015
I311670001,31167,Complexe sportif,,,,,,,0,15/10/2018,27/06/2013
I311810005,31181,Etablissement scolaire,0,0,0,0,0,0,1,03/12/2019,28/11/2019
I311820006,31182,Complexe sportif,0,1,0,0,0,0,0,21/07/2015,21/07/2015
